USPS,GEOID,INTPTLAT,INTPTLONG
AL,1001020100,32.4819591,-86.4913377
AL,1001020200,32.475758,-86.4724678
AL,1001020300,32.4740243,-86.4597033
AL,1001020400,32.4710304,-86.4448353
AL,1001020500,32.4589224,-86.4218265
AL,1001020600,32.4473399,-86.4768278
AL,1001020700,32.4305953,-86.4396208
AL,1001020801,32.4180817,-86.5271377
AL,1001020802,32.5467483,-86.5315257
AL,1001020900,32.6385222,-86.5148731
AL,1001021000,32.6061376,-86.7489849
AL,1001021100,32.4574129,-86.7290029
AL,1003010100,31.1104762,-87.7868713
AL,1003010200,30.9478929,-87.6787306
AL,1003010300,30.8412001,-87.8786378
AL,1003010400,30.7200267,-87.6245437
AL,1003010500,30.8969612,-87.7737368
AL,1003010600,30.8531544,-87.7701913
AL,1003010701,30.7174494,-87.9529225
AL,1003010703,30.6478304,-87.8437744
AL,1003010704,30.6477601,-87.8838007
AL,1003010705,30.6604947,-87.9557115
AL,1003010800,30.5939161,-87.9006394
AL,1003010903,30.6072432,-87.7798044
AL,1003010904,30.5640707,-87.5731188
AL,1003010905,30.5345606,-87.7548736
AL,1003010906,30.5641292,-87.6870074
AL,1003011000,30.4896994,-87.6767299
AL,1003011101,30.5190072,-87.8386361
AL,1003011102,30.4799296,-87.8330813
AL,1003011201,30.5408065,-87.891618
AL,1003011202,30.5045954,-87.9113671
AL,1003011300,30.4293701,-87.8782358
AL,1003011401,30.3802759,-87.7703177
AL,1003011403,30.3195372,-87.6627066
AL,1003011405,30.3005888,-87.54179
AL,1003011406,30.2696285,-87.637277
AL,1003011407,30.2501898,-87.7779445
AL,1003011408,30.2375544,-87.9238804
AL,1003011501,30.4324484,-87.6790139
AL,1003011502,30.3798842,-87.6650569
AL,1003011601,30.4082096,-87.5555847
AL,1003011602,30.4111645,-87.4511184
AL,1003990000,30.3288009,-87.8829736
AL,1005950100,32.0353533,-85.2477678
AL,1005950200,31.9222752,-85.4498308
AL,1005950300,31.7908933,-85.5670514
AL,1005950400,31.6794432,-85.5577196
AL,1005950500,31.7634183,-85.2718649
AL,1005950600,31.8783526,-85.2729215
AL,1005950700,31.9440855,-85.2620842
AL,1005950800,31.9203546,-85.1756308
AL,1005950900,31.8559766,-85.1513159
AL,1007010001,33.0791483,-87.1730915
AL,1007010002,33.1824126,-87.0823361
AL,1007010003,32.9533249,-87.0043466
AL,1007010004,32.9481242,-87.2799971
AL,1009050101,33.8723927,-86.4590322
AL,1009050102,33.9548523,-86.4643641
AL,1009050200,33.9974352,-86.544238
AL,1009050300,34.076531,-86.3904992
AL,1009050400,34.1660342,-86.4971736
AL,1009050500,34.0336235,-86.6373178
AL,1009050601,33.8702666,-86.8934341
AL,1009050602,33.9036637,-86.7813122
AL,1009050700,33.8404291,-86.635412
AL,1011952100,32.1157274,-85.5267341
AL,1011952200,32.1567022,-85.7015322
AL,1011952500,32.0821273,-85.8274935
AL,1013952700,31.8946556,-86.5914052
AL,1013952800,31.8377094,-86.6283263
AL,1013952900,31.848335,-86.6763244
AL,1013953000,31.8617983,-86.7608112
AL,1013953100,31.7967889,-86.6542667
AL,1013953200,31.7820079,-86.5213679
AL,1013953300,31.7163243,-86.7533225
AL,1013953400,31.6017378,-86.8165798
AL,1013953500,31.575083,-86.6086952
AL,1015000200,33.6737773,-85.816573
AL,1015000300,33.6759496,-85.8313606
AL,1015000400,33.6820547,-85.8686849
AL,1015000500,33.6626814,-85.8452392
AL,1015000600,33.642233,-85.8412035
AL,1015000700,33.7077538,-85.7919352
AL,1015000800,33.6457222,-85.8270146
