group_one,group_two,group_three,y
6693956189.313172,15786638731.32267,1138851732.3894973,9800.0
3664403018.8580084,15578492475.775564,1016369354.0258055,8189.0
2515680857.5942783,13619426814.378704,3738296867.691908,7201.0
0.0,4053065795.484945,8127645322.95366,3792.0
0.0,345121555.11860037,7699216801.755003,2278.0
0.0,0.0,3280581489.4178476,1338.0
0.0,0.0,711583825.1298,1025.0
0.0,0.0,1412969334.5443711,933.0
0.0,518723.36350000004,3535775811.244322,1066.0
0.0,174773194.26609913,8219306499.711054,1974.0
129807651.30329975,11764548868.74599,5114865491.307676,6140.0
2304094551.2854023,16279740583.704132,2020067285.922215,8492.0
