local_time,temperature
2018-12-31 19:00:00-05:00,0.855
2018-12-31 20:00:00-05:00,0.979
2018-12-31 21:00:00-05:00,1.3559999999999999
2018-12-31 22:00:00-05:00,1.7730000000000001
2018-12-31 23:00:00-05:00,2.206
2019-01-01 00:00:00-05:00,2.819
2019-01-01 01:00:00-05:00,3.33
2019-01-01 02:00:00-05:00,4.431
2019-01-01 03:00:00-05:00,5.296
2019-01-01 04:00:00-05:00,5.964
2019-01-01 05:00:00-05:00,7.028
2019-01-01 06:00:00-05:00,7.991
2019-01-01 07:00:00-05:00,8.746
2019-01-01 08:00:00-05:00,9.081
2019-01-01 09:00:00-05:00,8.969
2019-01-01 10:00:00-05:00,8.278
2019-01-01 11:00:00-05:00,7.026
2019-01-01 12:00:00-05:00,6.112
2019-01-01 13:00:00-05:00,5.444
2019-01-01 14:00:00-05:00,4.6
2019-01-01 15:00:00-05:00,3.4
2019-01-01 16:00:00-05:00,1.991
2019-01-01 17:00:00-05:00,1.168
2019-01-01 18:00:00-05:00,0.638
2019-01-01 19:00:00-05:00,0.093
2019-01-01 20:00:00-05:00,-0.61
2019-01-01 21:00:00-05:00,-1.426
2019-01-01 22:00:00-05:00,-2.268
2019-01-01 23:00:00-05:00,-2.998
2019-01-02 00:00:00-05:00,-3.786
2019-01-02 01:00:00-05:00,-4.133
2019-01-02 02:00:00-05:00,-4.275
2019-01-02 03:00:00-05:00,-4.409
2019-01-02 04:00:00-05:00,-4.6
2019-01-02 05:00:00-05:00,-4.714
2019-01-02 06:00:00-05:00,-4.769
2019-01-02 07:00:00-05:00,-4.626
2019-01-02 08:00:00-05:00,-3.046
2019-01-02 09:00:00-05:00,-1.625
2019-01-02 10:00:00-05:00,-0.40700000000000003
2019-01-02 11:00:00-05:00,0.717
2019-01-02 12:00:00-05:00,1.5430000000000001
2019-01-02 13:00:00-05:00,1.6219999999999999
2019-01-02 14:00:00-05:00,1.057
2019-01-02 15:00:00-05:00,-0.384
2019-01-02 16:00:00-05:00,-2.685
2019-01-02 17:00:00-05:00,-2.917
2019-01-02 18:00:00-05:00,-2.793
2019-01-02 19:00:00-05:00,-2.653
2019-01-02 20:00:00-05:00,-2.601
2019-01-02 21:00:00-05:00,-2.577
2019-01-02 22:00:00-05:00,-2.02
2019-01-02 23:00:00-05:00,-1.3639999999999999
2019-01-03 00:00:00-05:00,-0.834
2019-01-03 01:00:00-05:00,-0.536
2019-01-03 02:00:00-05:00,-0.254
2019-01-03 03:00:00-05:00,0.043000000000000003
2019-01-03 04:00:00-05:00,0.41200000000000003
2019-01-03 05:00:00-05:00,0.746
2019-01-03 06:00:00-05:00,1.031
2019-01-03 07:00:00-05:00,1.208
2019-01-03 08:00:00-05:00,1.506
2019-01-03 09:00:00-05:00,2.093
2019-01-03 10:00:00-05:00,2.827
2019-01-03 11:00:00-05:00,3.465
2019-01-03 12:00:00-05:00,3.613
2019-01-03 13:00:00-05:00,3.422
2019-01-03 14:00:00-05:00,2.833
2019-01-03 15:00:00-05:00,1.58
2019-01-03 16:00:00-05:00,-1.053
2019-01-03 17:00:00-05:00,-2.119
2019-01-03 18:00:00-05:00,-2.6109999999999998
2019-01-03 19:00:00-05:00,-2.847
2019-01-03 20:00:00-05:00,-2.966
2019-01-03 21:00:00-05:00,-3.163
2019-01-03 22:00:00-05:00,-3.338
2019-01-03 23:00:00-05:00,-3.499
2019-01-04 00:00:00-05:00,-3.425
2019-01-04 01:00:00-05:00,-3.31
2019-01-04 02:00:00-05:00,-3.126
2019-01-04 03:00:00-05:00,-3.042
2019-01-04 04:00:00-05:00,-3.019
2019-01-04 05:00:00-05:00,-2.898
2019-01-04 06:00:00-05:00,-2.846
2019-01-04 07:00:00-05:00,-2.507
2019-01-04 08:00:00-05:00,-0.728
2019-01-04 09:00:00-05:00,1.292
2019-01-04 10:00:00-05:00,2.8890000000000002
2019-01-04 11:00:00-05:00,3.982
2019-01-04 12:00:00-05:00,4.676
2019-01-04 13:00:00-05:00,5.011
2019-01-04 14:00:00-05:00,4.453
2019-01-04 15:00:00-05:00,2.64
2019-01-04 16:00:00-05:00,0.538
2019-01-04 17:00:00-05:00,0.928
2019-01-04 18:00:00-05:00,0.619
